"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-12","7.83"," 1458"," 1458","1.20",,,,,"84","68",,"  310","  310","0.0","23.0","33.1","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-13","12.30"," 1401"," 1400","0.00",,,,,"77","63",,"  270","  250","0.0","21.9","31.1","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-14","9.17"," 1648"," 1625","0.00",,,,,"79","58",,"  260","  270","0.0","21.0","29.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-15","8.95"," 1654"," 1543","0.00",,,,,"80","61",,"  270","  240","0.0","17.9","25.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-16","6.04"," 0254"," 0253","0.00",,,,,"72","57",,"  310","  300","0.0","14.1","19.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-17","5.82"," 1742"," 1741","0.10",,,,,"68","60",,"  260","  270","0.0","15.0","19.9","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-18","7.83"," 1431"," 1430","0.00",,,,,"71","58",,"  290","  290","0.0","16.1","23.0",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-19","4.70"," 1123"," 1502","0.00",,,,,"73","54",,"  290","  290","0.0","13.0","17.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-20","6.49"," 1031"," 1301","0.00",,,,,"76","55",,"  100","  150","0.0","16.1","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-21","12.53"," 0916"," 0915","0.00",,,,,"83","68",,"  140","  140","0.0","23.9","30.0",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-22","7.61"," 1759"," 1620","0.20",,,,,"75","63",,"  260","  260","0.0","17.0","23.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-23","5.82"," 1214"," 1325","0.00",,,,,"77","60",,"  280","  280","0.0","15.0","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-24","7.83"," 1206"," 1536","0.00",,,,,"79","60",,"   90","  110","0.0","17.0","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-25","8.50"," 1035"," 0932","0.00",,,,,"78","62",,"  130","  130","0.0","17.0","25.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-26","7.83"," 1555"," 1208","0.84",,,,,"86","71",,"  250","  270","0.0","16.1","23.9","    1",,,,"    1",,"    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-27","8.28"," 2248"," 0840","0.00",,,,,"82","63",,"  100","   30","0.0","17.0","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-28","12.30"," 1207"," 0900","0.00",,,,,"80","72",,"  120","  120","0.0","21.0","32.0",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-29","13.87"," 1134"," 1133","0.33",,,,,"80","62",,"  210","  190","0.0","23.0","32.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-30","6.93"," 1247"," 1019","0.00",,,,,"76","58",,"  280","  320","0.0","14.1","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-31","5.14"," 1759",,"0.00",,,,,"78","58",,"  140",,"0.0","8.9",,,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-01","6.26"," 1644"," 1236","0.00",,,,,"80","60",,"   80","   90","0.0","16.1","21.9","    1",,,,,"    1","    1",,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-02","8.50"," 1034"," 1012","0.00",,,,,"81","66",,"  110","  130","0.0","17.0","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-03","8.28"," 0942"," 0929","0.00",,,,,"81","65",,"   90","   80","0.0","17.0","25.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-04","9.40"," 2319"," 1445","0.00",,,,,"82","69",,"  100","   80","0.0","17.0","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-05","10.96"," 1318"," 1535","0.00",,,,,"82","72",,"   80","   80","0.0","19.9","25.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-06","11.18"," 1526"," 1525","0.00",,,,,"81","70",,"  110","  100","0.0","17.0","23.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-07","10.29"," 2227"," 1230","0.00",,,,,"83","70",,"  110","  140","0.0","17.0","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-08","10.96"," 1450"," 0910","0.00",,,,,"84","74",,"  120","  160","0.0","17.0","25.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-09","7.38"," 1354"," 0936","0.00",,,,,"89","73",,"  200","  200","0.0","16.1","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-10","10.51"," 1338"," 1252","0.00",,,,,"84","75",,"   90","   90","0.0","17.9","25.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-11","9.17"," 1312"," 1311","1.06",,,,,"85","69",,"  110","   90","0.0","17.0","23.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-12","7.38"," 1735"," 1734","2.15",,,,,"79","69",,"   90","  100","0.0","21.0","25.9","    1",,,,"    1",,"    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-13","13.20"," 2344"," 2229","0.00",,,,,"82","73",,"   70","   60","0.0","21.0","29.1",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-14","15.21"," 1307"," 1547","0.00",,,,,"81","73",,"   70","   40","0.0","23.0","31.1",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-15","14.99"," 1535"," 1228","0.01",,,,,"81","72",,"   90","   90","0.0","23.9","31.1",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-16","11.86"," 2249"," 2248","0.00",,,,,"82","69",,"   90","   90","0.0","21.9","25.1","    1",,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-17","11.63"," 1134"," 1239","0.06",,,,,"80","69",,"  110","  130","0.0","17.9","30.0","    1",,,,"    1",,"    1",,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-18","10.07"," 1838"," 1840","2.13",,,,,"79","68",,"   30","   40","0.0","21.0","30.0","    1",,,,"    1",,"    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-19","6.93"," 1508"," 1501","0.00",,,,,"78","69",,"   80","   80","0.0","15.0","21.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-20","4.25"," 1631"," 1631","0.73",,,,,"83","68",,"  140","  140","0.0","16.1","21.9","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-21","6.93"," 1619"," 1418","0.00",,,,,"86","70",,"  260","  250","0.0","17.0","23.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-22","4.92"," 1652"," 1555","0.00",,,,,"86","68",,"  120","  110","0.0","12.1","17.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-23","7.38"," 1640"," 1618","0.00",,,,,"85","67",,"  100","  100","0.0","16.1","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-24","11.41"," 1027"," 1030","0.00",,,,,"84","72",,"  140","  120","0.0","21.9","30.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-25","11.41"," 1327"," 1458","0.00",,,,,"87","74",,"  140","  150","0.0","19.9","32.0","    1",,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-26","8.50"," 0928"," 0927","2.80",,,,,"83","68",,"  270","  280","0.0","25.9","40.0","    1","    1","    1",,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-27","7.61"," 1552"," 1537","0.00",,,,,"87","68",,"  260","  260","0.0","15.0","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-28","5.59"," 1605"," 0721","0.00",,,,,"84","71",,"   90","  330","0.0","12.1","17.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-29","8.95"," 2204"," 2251","0.00",,,,,"80","73",,"  130","  120","0.0","17.9","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04-30","12.53"," 1157"," 1253","0.01",,,,,"85","72",,"  120","  130","0.0","21.9","28.0",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-01","11.18"," 0850"," 1122","0.00",,,,,"86","78",,"  120","  150","0.0","17.0","23.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-02","12.53"," 1130"," 1025","0.00",,,,,"87","79",,"  120","  130","0.0","19.9","25.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-03","10.51"," 0749"," 1030","0.00",,,,,"87","78",,"  120","  140","0.0","17.9","25.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-04","9.62"," 1309"," 1639","0.00",,,,,"89","78",,"  130","  140","0.0","17.0","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-05","6.93"," 1640"," 1640","0.02",,,,,"90","77",,"  140","  130","0.0","15.0","23.9",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-06","4.92"," 2103"," 2109","0.00",,,,,"93","79",,"  130","  130","0.0","14.1","23.0","    1",,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-07","4.70"," 1424"," 1628","0.00",,,,,"91","79",,"  110","  150","0.0","15.0","21.0",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-08","5.14"," 1406"," 1650","0.00",,,,,"93","77",,"   90","  190","0.0","21.9","25.1",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-09","6.49"," 1623"," 1646","0.00",,,,,"95","77",,"  110","  120","0.0","14.1","17.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-10","11.41"," 1458"," 1501","0.00",,,,,"87","79",,"   90","   80","0.0","17.9","25.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-11","14.99"," 2339"," 2338","0.00",,,,,"86","78",,"   80","   80","0.0","21.0","25.1",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-12","14.76"," 1814"," 1056","0.00",,,,,"86","75",,"  100","   90","0.0","21.0","30.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05-13","13.42"," 1548"," 1449","0.00",,,,,"86","75",,"   80","   90","0.0","21.9","29.1",,,,,,,,,,,,,
